Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:19.26,"urn:cite:hmt:vaimg.VA252RN-0423@0.194,0.2006,0.383,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:19.27,"urn:cite:hmt:vaimg.VA252RN-0423@0.193,0.2209,0.395,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:19.28,"urn:cite:hmt:vaimg.VA252RN-0423@0.192,0.2419,0.395,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:19.29,"urn:cite:hmt:vaimg.VA252RN-0423@0.18,0.26,0.426,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:19.30,"urn:cite:hmt:vaimg.VA252RN-0423@0.183,0.2795,0.402,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:19.31,"urn:cite:hmt:vaimg.VA252RN-0423@0.185,0.299,0.423,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.32,"urn:cite:hmt:vaimg.VA252RN-0423@0.186,0.3163,0.396,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.33,"urn:cite:hmt:vaimg.VA252RN-0423@0.189,0.3388,0.402,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.34,"urn:cite:hmt:vaimg.VA252RN-0423@0.192,0.3591,0.396,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.35,"urn:cite:hmt:vaimg.VA252RN-0423@0.19,0.3779,0.396,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.36,"urn:cite:hmt:vaimg.VA252RN-0423@0.189,0.3952,0.396,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.37,"urn:cite:hmt:vaimg.VA252RN-0423@0.187,0.4147,0.396,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.38,"urn:cite:hmt:vaimg.VA252RN-0423@0.186,0.4365,0.422,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.39,"urn:cite:hmt:vaimg.VA252RN-0423@0.189,0.456,0.391,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.40,"urn:cite:hmt:vaimg.VA252RN-0423@0.191,0.4703,0.397,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.41,"urn:cite:hmt:vaimg.VA252RN-0423@0.191,0.4899,0.38,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.42,"urn:cite:hmt:vaimg.VA252RN-0423@0.189,0.5131,0.427,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.43,"urn:cite:hmt:vaimg.VA252RN-0423@0.187,0.5312,0.367,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.44,"urn:cite:hmt:vaimg.VA252RN-0423@0.177,0.55,0.406,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.45,"urn:cite:hmt:vaimg.VA252RN-0423@0.181,0.568,0.418,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:19.46,"urn:cite:hmt:vaimg.VA252RN-0423@0.183,0.5898,0.418,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:19.47,"urn:cite:hmt:vaimg.VA252RN-0423@0.185,0.6071,0.418,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:19.48,"urn:cite:hmt:vaimg.VA252RN-0423@0.181,0.6251,0.418,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:19.49,"urn:cite:hmt:vaimg.VA252RN-0423@0.176,0.6454,0.386,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:19.50,"urn:cite:hmt:vaimg.VA252RN-0423@0.178,0.6649,0.386,0.0361"
